file_path,total_communications,final_position_error,final_rotation_error,position_convergence_comm,rotation_convergence_comm,position_convergence_ratio,rotation_convergence_ratio,total_iterations,experiment_name,algorithm,grid_size,position_convergence_iteration,position_convergence_time,rotation_convergence_iteration,rotation_convergence_time,robot_count
data/results/seq/grid_14_14_geodesic-mesa_2025-08-10_15-25-17/residual_and_ate.txt,8401,0.0024621136661794,0.0010066660824329,8270,8270,0.984406618259731,0.984406618259731,842,grid_14_14_geodesic-mesa_2025-08-10_15-25-17,geodesic-mesa,14_14,8270.0,536.602,8270.0,536.602,14
data/results/seq/grid_14_14_asapp_2025-08-10_16-36-25/residual_and_ate.txt,37728,0.0862710286166274,0.0412895568519268,35696,35319,0.9461407972858354,0.9361482188295164,842,grid_14_14_asapp_2025-08-10_16-36-25,asapp,14_14,7910.0,1295.89,7820.0,1282.48,14
data/results/seq/grid_15_15_geodesic-mesa_2025-08-10_14-48-50/residual_and_ate.txt,9001,0.0175338616799059,0.0063930419960221,8830,8750,0.9810021108765692,0.9721142095322742,902,grid_15_15_geodesic-mesa_2025-08-10_14-48-50,geodesic-mesa,15_15,8830.0,560.898,8750.0,556.543,15
data/results/seq/grid_15_15_asapp_2025-08-10_18-52-47/residual_and_ate.txt,41665,0.2495835037898156,0.0942974408975689,37791,37344,0.9070202808112324,0.896291851674067,902,grid_15_15_asapp_2025-08-10_18-52-47,asapp,15_15,8090.0,1298.51,7980.0,1282.51,15
data/results/seq/grid_15_15_dgs_2025-08-10_14-48-50/residual_and_ate.txt,567063,0.3529713892299332,0.2205350457395379,40950,40950,0.0722141984223975,0.0722141984223975,902,grid_15_15_dgs_2025-08-10_14-48-50,dgs,15_15,650.0,49.0863,650.0,49.0863,15
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,12000,0.015,0.008,1943,1943,0.16191666666666665,0.16191666666666665,210,grid_-_CBS_manual_input,CBS,-,210.0,21.9,210.0,21.9,15
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,1219,1219,0.1219,0.1219,140,grid_-_CBS_manual_input,CBS,-,140.0,13.88,140.0,13.88,14
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,1542,1542,0.1542,0.1542,169,grid_-_CBS_manual_input,CBS,-,169.0,16.93,169.0,16.93,13
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,1065,1065,0.1065,0.1065,132,grid_-_CBS_manual_input,CBS,-,132.0,12.75,132.0,12.75,12
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,960,960,0.096,0.096,121,grid_-_CBS_manual_input,CBS,-,121.0,10.58,121.0,10.58,11
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,880,880,0.088,0.088,120,grid_-_CBS_manual_input,CBS,-,120.0,9.5,120.0,9.5,10
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,592,592,0.0592,0.0592,80,grid_-_CBS_manual_input,CBS,-,80.0,6.74,80.0,6.74,9
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,414,414,0.0414,0.0414,64,grid_-_CBS_manual_input,CBS,-,64.0,4.6,64.0,4.6,8
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,338,338,0.0338,0.0338,70,grid_-_CBS_manual_input,CBS,-,70.0,2.74,70.0,2.74,7
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,240,240,0.024,0.024,54,grid_-_CBS_manual_input,CBS,-,54.0,1.45,54.0,1.45,6
manual_input/grid_-_CBS_manual_input/residual_and_ate.txt,10000,0.018,0.009,200,200,0.02,0.02,65,grid_-_CBS_manual_input,CBS,-,65.0,0.7,65.0,0.7,5
